# teltonika.lt,3.69.112.66
# teltonika.lt,35.157.156.54

1.mm.tosibox.com,65.108.97.23
1.mm.tosibox.com,195.201.174.228
1cs.worldline-solutions.com,153.46.250.47
1daydrive.worldline-solutions.com,185.8.54.17
1x1.a-mo.net,18.196.169.33
3.mm.tosibox.com,37.16.126.160
3415p1.zunder.com.com,104.26.4.148
3415p1.zunder.com.com,104.26.5.148
3g.ccv.eu,18.192.157.198
4.sophosxl.net,3.255.15.188
4.sophosxl.net,18.194.154.42
4.sophosxl.net,18.200.127.233
4.sophosxl.net,52.16.209.232
4.sophosxl.net,52.30.160.147
4.sophosxl.net,52.213.134.229
56264f43006127a1-electrasas-pos-config-live.a,147.12.16.63
56264f43006127a1-electrasas-pos-config-live.a,147.12.17.191
56264f43006127a1-electrasas-pos-config-live.a,147.12.18.63
56264f43006127a1-electrasas-pos-config-live.a,147.12.19.63
56264f43006127a1-electrasas-pos-sync-live.ady,147.12.16.64
56264f43006127a1-electrasas-pos-sync-live.ady,147.12.17.208
56264f43006127a1-electrasas-pos-sync-live.ady,147.12.18.64
56264f43006127a1-electrasas-pos-sync-live.ady,147.12.19.64
a.deadlinefunnel.com,104.26.1.128
a.nel.cloudflare.com,35.190.80.1
a.tribalfusion.com,104.18.37.193
a.tribalfusion.com,172.64.150.63
a1051.dscg4.akamai.net,2.19.117.22
a1051.dscg4.akamai.net,23.62.100.160
a1366.dscapi6.akamai.net,2.16.55.214
a1366.dscapi6.akamai.net,2.16.55.218
a1366.dscapi6.akamai.net,2.18.190.68
a1366.dscapi6.akamai.net,2.18.190.74
a1366.dscapi6.akamai.net,2.18.190.75
a1366.dscapi6.akamai.net,2.18.190.77
a1366.dscapi6.akamai.net,2.23.210.89
a1366.dscapi6.akamai.net,23.36.15.137
a1366.dscapi6.akamai.net,23.36.15.231
a1366.dscapi6.akamai.net,23.36.15.232
a1366.dscapi6.akamai.net,23.36.15.234
a1413.dscw39.akamai.net,23.3.68.87
a1556.dscapi9.akamai.net,2.18.190.88
a1556.dscapi9.akamai.net,2.19.117.91
a1556.dscapi9.akamai.net,2.23.210.71
a15qvcxk7p3bae-ats.iot.eu-central-1.amazonaws,18.153.244.214
a15qvcxk7p3bae-ats.iot.eu-central-1.amazonaws,63.179.34.254
a1744.dscw154.akamai.net,2.23.210.81
a1744.dscw154.akamai.net,2.23.210.92
a1744.dscw154.akamai.net,2.23.210.104
a1818.dscw154.akamai.net,2.23.210.86
a1864.gi3.akamai.net,2.21.64.163
a1864.gi3.akamai.net,2.21.64.172
a1931.dscgi3.akamai.net,2.16.153.28
a1931.dscgi3.akamai.net,2.21.64.135
a1931.dscgi3.akamai.net,2.21.64.174
a1961.g2.akamai.net,2.16.55.215
a2030.dscapi9.akamai.net,2.18.190.72
a2030.dscapi9.akamai.net,2.18.190.73
a2030.dscapi9.akamai.net,2.18.190.80
a2030.dscapi9.akamai.net,2.18.190.83
a2030.dscapi9.akamai.net,2.18.190.84
a2030.dscapi9.akamai.net,2.19.117.102
a2030.dscapi9.akamai.net,2.23.210.91
a2030.dscapi9.akamai.net,23.3.68.91
a2047.dscapi9.akamai.net,2.18.190.69
a2047.dscapi9.akamai.net,2.18.190.76
a2047.dscapi9.akamai.net,2.18.190.78
a2047.dscapi9.akamai.net,2.18.190.90
a2047.dscapi9.akamai.net,2.18.190.91
a2047.dscapi9.akamai.net,23.36.15.228
a2047.dscapi9.akamai.net,23.36.15.229
a239.gi3.akamai.net,2.21.64.151
a293ycymj5u8y6-ats.iot.eu-west-1.amazonaws.co,46.137.160.173
a293ycymj5u8y6-ats.iot.eu-west-1.amazonaws.co,52.17.157.160
a293ycymj5u8y6-ats.iot.eu-west-1.amazonaws.co,52.208.147.18
a293ycymj5u8y6-ats.iot.eu-west-1.amazonaws.co,54.73.246.212
a293ycymj5u8y6-ats.iot.eu-west-1.amazonaws.co,54.74.67.39
a293ycymj5u8y6-ats.iot.eu-west-1.amazonaws.co,54.77.108.226
a293ycymj5u8y6-ats.iot.eu-west-1.amazonaws.co,63.32.0.65
a293ycymj5u8y6-ats.iot.eu-west-1.amazonaws.co,99.81.33.174
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,3.88.122.183
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,3.220.242.72
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,3.226.20.177
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,13.217.73.45
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,13.223.152.107
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,18.204.129.44
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,18.205.78.246
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,18.211.175.205
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,18.213.248.238
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,23.21.143.102
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,34.239.219.213
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,44.197.233.7
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,44.214.206.124
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,50.17.128.250
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,52.1.166.83
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,52.2.125.221
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,52.23.212.163
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,52.70.108.92
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,52.201.16.62
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,52.203.239.94
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,54.163.163.150
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,54.173.236.164
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,54.204.16.139
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,54.225.66.141
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,54.237.178.44
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,98.94.169.213
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,98.95.140.43
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,100.24.238.231
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,100.25.220.58
a2bkl7yakx7acn-ats.iot.us-east-1.amazonaws.co,184.72.73.64
a339.dscgi3.akamai.net,2.18.27.212
a339.dscgi3.akamai.net,2.21.64.147
a355h94gwxl4fe-ats.iot.eu-west-2.amazonaws.co,13.134.245.112
a355h94gwxl4fe-ats.iot.eu-west-2.amazonaws.com,13.134.65.56
a3ikz8tra5nexo.iot.ap-southeast-2.amazonaws.c,3.105.86.241
a3ikz8tra5nexo.iot.ap-southeast-2.amazonaws.c,54.66.196.27
a485.dscb.akamai.net,2.19.117.4
a485.dscb.akamai.net,2.19.117.11
a485.dscb.akamai.net,23.3.68.76
a485.dscb.akamai.net,23.3.68.85
a5071.casalemedia.com,185.170.62.93
a68.dscg4.akamai.net,23.62.100.139
a68.dscg4.akamai.net,23.62.100.169
a68.dscg4.akamai.net,23.62.100.177
a68.dscg4.akamai.net,23.62.100.195
a708.dsct.akamai.net,2.21.64.138
a708.dsct.akamai.net,2.21.64.165
abb.cdlink.chargedot.com,13.79.95.40
abnamro.worldline-solutions.com,82.195.46.62
ac1.peplink.com,34.215.116.50
ac1.peplink.com,44.232.30.5
ac1.peplink.com,52.24.111.52
ac1.peplink.com,54.218.3.77
ac1.peplink.com,54.218.62.163
ac1.peplink.com,100.21.195.251
ac2.peplink.com,35.166.63.185
ac2.peplink.com,52.33.225.237
ac2.peplink.com,54.201.63.99
ac2.peplink.com,54.213.17.185
ac2.peplink.com,100.21.37.12
ac2.peplink.com,100.21.234.106
acc-connectedliving-access-points.worldline-solutions.com,160.92.71.104
acc-cps.worldline-solutions.com,160.92.71.160
acc-ddxc.worldline-solutions.com,160.92.71.161
acc-hce.switchio.com,193.33.23.117
acc-helpdesk.switchio.com,193.33.23.87
acc-ingapi.worldline-solutions.com,160.92.73.149
acc-merchant.switchio.com,193.33.23.87
acc-merchant.switchio.com,193.33.23.118
acc-mobilepos.switchio.com,193.33.23.116
acc-paynetics.switchio.com,193.33.23.87
acc-token.switchio.com,193.33.23.85
acc-token.switchio.com,193.33.23.100
accelerator.teltonika.lt,34.149.87.45
acceptance.ccv.eu,92.70.5.84
access-services-nc.worldline-solutions.com,160.92.71.70
access-services-nc.worldline-solutions.com,185.8.54.170
account-api.tplinkcloud.com,34.225.73.41
account-api.tplinkcloud.com,35.169.201.246
account-api.tplinkcloud.com,98.80.110.171
account-captcha-beta.tplinkcloud.com,99.84.203.38
account-captcha-beta.tplinkcloud.com,99.84.203.102
account-captcha-beta.tplinkcloud.com,99.84.203.122
account-captcha.tplinkcloud.com,18.245.113.6
account-captcha.tplinkcloud.com,18.245.113.31
account-captcha.tplinkcloud.com,18.245.113.57
account-delete-beta.tplinkcloud.com,18.245.104.72
account-delete-beta.tplinkcloud.com,18.245.104.111
account-delete-beta.tplinkcloud.com,18.245.104.125
account-delete.tplinkcloud.com,18.66.147.30
account-delete.tplinkcloud.com,18.66.147.51
account-delete.tplinkcloud.com,18.66.147.54
account-oauth.tplinkcloud.com,18.238.152.117
account-oauth.tplinkcloud.com,65.8.243.91
account-oauth.tplinkcloud.com,65.8.243.99
account.switchio.com,193.33.23.88
account.windy.com,34.98.77.230
account.xiaomi.com,20.47.97.75
accounts.google.com,142.251.127.84
accounts.google.com,172.217.76.84
accounts.google.com,192.178.223.84
accounts.tplinkcloud.com,52.204.152.164
accounts.tplinkcloud.com,54.163.143.219
accounts.tplinkcloud.com,98.85.215.47
accounts1.tplinkcloud.com,34.198.57.51
accounts1.tplinkcloud.com,54.145.130.121
accounts1.tplinkcloud.com,54.175.237.181
accounts2.tplinkcloud.com,34.246.127.50
accounts2.tplinkcloud.com,52.209.89.48
accounts2.tplinkcloud.com,52.210.169.218
accounts3.tplinkcloud.com,3.0.191.88
accounts3.tplinkcloud.com,13.251.13.15
accounts3.tplinkcloud.com,13.251.234.189
acksys-wos-management-api.fr,3.248.20.84
acksys-wos-management-api.fr,34.247.2.176
acs.bigbrother.nl,213.136.3.175
acs2.draytek.com,34.81.223.194
acs3.draytek.com,34.96.98.197
acs3.draytek.com,122.116.226.99
acsechocaptiveportal.com,54.84.250.174
acsechocaptiveportal.com,54.172.167.174
acsechocaptiveportal.com,54.209.131.236
acstest.draytek.com,114.34.185.231
acstest.draytek.com,220.132.109.130
activate.iot.socomec.com,94.125.109.122
actu.fr,172.66.165.104
ad.doubleclick.net,64.233.180.148
ad.doubleclick.net,142.250.129.148
ad.doubleclick.net,142.250.140.148
ad.doubleclick.net,142.250.140.149
ad.doubleclick.net,142.250.151.148
ad.doubleclick.net,142.250.151.149
ad.doubleclick.net,142.251.29.148
ad.doubleclick.net,142.251.29.149
ad.doubleclick.net,142.251.30.148
ad.doubleclick.net,142.251.110.148
ad.doubleclick.net,192.178.223.148
ad.doubleclick.net,192.178.223.149
ad.mrtnsvr.com,34.102.163.6
addevent.com,34.243.62.41
addevent.com,54.171.184.129
addevent.com,99.80.154.108
addons.libreelec.tv,116.203.139.247
addons.opera.com,185.26.182.111
addons.opera.com,185.26.182.112
addtocalendar.com,34.233.43.44
admin-uat.ruijienetworks.com,43.152.182.45
admin.ruijienetworks.com,139.198.112.162
administrator-efep.worldline-solutions.com,160.92.42.55
ads.servenobid.com,129.212.214.111
ads.stickyadstv.com,38.134.110.235
ads.stickyadstv.com,38.134.110.236
adservice.google.com,142.251.29.154
adservice.google.com,172.217.76.155
adx.g.doubleclick.net,142.250.117.156
aertssen.be,185.86.18.110
agctx-sb-acpt.worldline-solutions.com,193.58.87.87
agctx-sb-prod.worldline-solutions.com,193.58.87.88
agctx-sb-uat.worldline-solutions.com,193.58.83.210
agentupdate.clouduss.com,216.137.53.26
aggregator.teltonika.lt,3.78.75.200
agps.gwgps12580.com,114.55.116.12
agps.gwgps12580.com,114.55.150.230
agps.vehiclets.com,35.246.44.200
ai-eu.wps.com,90.84.175.86
airload.whatspos.com,166.117.5.27
airload.whatspos.com,166.117.156.130
akademija.teltonika.lt,18.197.73.225
akademija.teltonika.lt,52.58.163.47
alarme2.optisecurite.fr,80.11.164.251
alpha.tplinkcloud.com,52.68.227.29
alpha.tplinkcloud.com,54.178.159.96
alpha.tplinkcloud.com,103.4.14.213
alpitronic.public.ocpp-broker.com,3.127.42.216
alt1-safebrowsing.google.com,74.125.196.190
alt1-safebrowsing.google.com,142.251.36.142
alt1-safebrowsing.google.com,142.251.216.46
alt2-safebrowsing.google.com,142.250.101.91
alt2-safebrowsing.google.com,142.250.101.93
alt2-safebrowsing.google.com,142.250.102.91
alt2-safebrowsing.google.com,142.250.102.93
alt2-safebrowsing.google.com,142.250.102.136
alt2-safebrowsing.google.com,142.250.102.190
alt2-safebrowsing.google.com,142.250.147.136
alt2-safebrowsing.google.com,142.250.178.110
alt2-safebrowsing.google.com,142.250.184.110
alt2-safebrowsing.google.com,142.250.200.142
alt2-safebrowsing.google.com,142.250.200.174
alt2-safebrowsing.google.com,142.251.39.174
alt2-safebrowsing.google.com,142.251.42.142
alt2-safebrowsing.google.com,142.251.108.93
alt2-safebrowsing.google.com,142.251.108.136
alt2-safebrowsing.google.com,142.251.134.46
alt2-safebrowsing.google.com,172.217.17.206
alt2-safebrowsing.google.com,172.217.78.93
alt2-safebrowsing.google.com,172.217.78.136
alt2-safebrowsing.google.com,173.194.76.91
alt2-safebrowsing.google.com,173.194.76.93
alt2-safebrowsing.google.com,173.194.76.136
alt2-safebrowsing.google.com,173.194.76.190
alt2-safebrowsing.google.com,192.178.213.93
alt2-safebrowsing.google.com,192.178.213.136
alt2-safebrowsing.google.com,192.178.213.190
amexws.worldline-solutions.com,160.92.71.28
amexws2.worldline-solutions.com,193.58.81.34
amzn.eu,3.253.181.71
analytics.adjust.com,185.151.204.2
analytics.adjust.com,185.151.204.201
analytics.adjust.com,185.151.204.203
analytics.tplinkcloud.com,3.212.148.103
analytics.tplinkcloud.com,44.217.103.205
analytics.tplinkcloud.com,54.156.22.95
andes.g.ebay.com,209.140.136.209
anyos.microserver.fr,81.19.19.50
anyos.microserver.fr,213.223.121.194
aom.tsg-portal.de,194.182.185.80
aomaws.tsg-protect.io,18.197.69.147
ap-gae2.spotify.com,104.199.241.202
ap-gew1.spotify.com,104.199.65.9
ap-gew4.spotify.com,34.158.1.133
ap-guc3.spotify.com,104.154.127.247
ap-gue1.spotify.com,34.158.255.62
apay-service-test.ccv.eu,128.65.210.105
apex.ccv.eu,92.70.5.77
api-apm.instabug.com,18.245.253.4
api-festa.tplinkcloud.com,3.215.203.12
api-festa.tplinkcloud.com,34.243.219.153
api-festa.tplinkcloud.com,52.201.189.129
api-iam.eu.intercom.io,34.254.116.95
api-iam.intercom.io,52.6.94.158
api-iam.intercom.io,52.22.99.103
api-iam.intercom.io,52.44.206.133
api-iam.intercom.io,54.152.130.11
api-iam.intercom.io,98.90.95.107
api-id.tplinkcloud.com,3.211.164.41
api-id.tplinkcloud.com,3.228.71.28
api-id.tplinkcloud.com,34.192.222.153
api-omada-central.tplinkcloud.com,34.243.219.153
api-omada-cloud-manager.tplinkcloud.com,3.212.79.37
api-omada-cloud-manager.tplinkcloud.com,34.233.220.65
api-omada-common-data-manager.tplinkcloud.com,3.1.92.201
api-omada-common-data-manager.tplinkcloud.com,52.76.77.235
api-omada.tplinkcloud.com,3.216.13.33
api-ssp.spot.im,18.244.140.34
api-ssp.spot.im,18.244.140.50
api-terminal.imin.sg,8.216.128.43
api-us.mida.so,35.225.119.91
api-vehicles.teltonika.lt,18.193.205.18
api.account.xiaomi.com,20.47.97.107
api.ad.intl.xiaomi.com,20.33.66.192
api.ad.intl.xiaomi.com,20.33.66.197
api.ad.intl.xiaomi.com,20.33.66.199
api.alemca.io,87.106.120.130
api.amazon.com,98.82.156.123
api.amazon.com,98.82.156.168
api.amazon.com,98.82.156.189
api.amazon.com,98.82.160.170
api.amazon.es,3.253.168.166
api.amazon.es,3.253.177.224
api.amazon.es,3.253.179.30
api.appcues.net,52.89.219.54
api.appexnw.com,104.17.209.85
api.appexnw.com,104.17.210.85
api.cloud.huawei.com,80.158.60.81
api.coinbase.com,104.18.35.15
api.coinbase.com,172.64.152.241
api.ddsysvideo.com,13.36.7.208
